,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0,0,0,0,0,526723105478438912,526723105478438912,1414415549000,2014-10-27,16:42:29,430,2778040873,hibourse,hibourse,,"#برترین تقاضا
#شکربن
#بکاب
#لخزر
#ثنوسا
#غبشهر
#ختراک
#ثاخت
***
#TSE
#هایبورس
#بورس",[],[],[],0,0,0,"['#برترین', '#شکربن', '#بکاب', '#لخزر', '#ثنوسا', '#غبشهر', '#ختراک', '#ثاخت', '#tse', '#هایبورس', '#بورس']",[],https://twitter.com/hibourse/status/526723105478438912,False,,0,,,,,,,"[{'user_id': '2778040873', 'username': 'hibourse'}]",,,,,0.9801063537597656
1,1,1,1,1,1,1,736428064754786304,736428064754786304,1464413107000,2016-05-28,09:55:07,430,2463165061,bourseiness,بورسینس,,نمادهای #خاذین #فولاد #ثاخت #ثفارس #لکما به گزارش بورسینس در پائین ترین قیمت خود…  http://goo.gl/fb/df1kO6  #اقتصاد,[],['http://goo.gl/fb/df1kO6'],[],0,0,0,"['#خاذین', '#فولاد', '#ثاخت', '#ثفارس', '#لکما', '#اقتصاد']",[],https://twitter.com/bourseiness/status/736428064754786304,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.7128512263298035
2,2,2,2,2,2,2,736478671846952960,736478671846952960,1464425173000,2016-05-28,13:16:13,430,2463165061,bourseiness,بورسینس,,#ثاخت شرکت بين المللي توسعه ساختمان پیش بینی درآمد هر سهم سال مالی منتهی…  http://goo.gl/fb/QP3jQx  #اقتصاد,[],['http://goo.gl/fb/QP3jQx'],[],0,0,0,"['#ثاخت', '#اقتصاد']",[],https://twitter.com/bourseiness/status/736478671846952960,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9608500599861144
3,3,3,3,3,3,3,901833577993830400,901833577993830400,1503848854000,2017-08-27,20:17:34,430,830770031705206788,radiosaham_ir,radiosaham,,"شاخص سهام ۳۵۵ واحد صعود کرد | #بورس در آستانه کانال جدید
 http://radiosaham.ir/177046/ 

آخرین وضعیت #ثاخت از زبان مدیرعامل
 http://radiosaham.ir/177047/ ",[],"['http://radiosaham.ir/177046/', 'http://radiosaham.ir/177047/']",[],0,0,0,"['#بورس', '#ثاخت']",[],https://twitter.com/radiosaham_ir/status/901833577993830400,False,,0,,,,,,,"[{'user_id': '830770031705206788', 'username': 'radiosaham_ir'}]",,,,,0.921967387199402
4,4,4,4,4,4,4,990890902108430336,990890902108430336,1525081775000,2018-04-30,14:19:35,430,986116312920453120,abandidgah,دیدگاه آبان,,"#ثاخت
اطلاعیه 
*بين المللي توسعه ساختمان* 
افشای اطلاعات بااهمیت - (برگزاري مزايده - گروه ب) منتهی به سال مالی ۱۳۹۷/۰۶/۳۱ 
#بورس pic.twitter.com/wGRNyd4rO7",[],[],['https://pbs.twimg.com/media/DcBaBORVwAAORId.jpg'],0,0,0,"['#ثاخت', '#بورس']",[],https://twitter.com/abandidgah/status/990890902108430336,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.997379720211029
5,5,5,5,5,5,5,991181894569127936,991181894569127936,1525151153000,2018-05-01,09:35:53,430,986116312920453120,abandidgah,دیدگاه آبان,,"*بازگشایی نماد*
بورس
#ورنا و #ثاخت
با محدوديت نوسان قيمت
#بورس",[],[],[],0,0,0,"['#ورنا', '#ثاخت', '#بورس']",[],https://twitter.com/abandidgah/status/991181894569127936,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.7743514180183411
6,6,6,6,6,6,6,998438314582597632,998438314582597632,1526881218000,2018-05-21,10:10:18,430,986116312920453120,abandidgah,دیدگاه آبان,,"#ثاخت
بررسی اطلاعیه 96/02/31   
*بين المللي توسعه ساختمان*     
افشای اطلاعات بااهمیت - (اتمام تعهدات قبلي - گروه ب) منتهی به سال مالی ۱۳۹۷/۰۶/۳۱  pic.twitter.com/EsLyyiYZ4N",[],[],['https://pbs.twimg.com/media/DdsqQhBU0AAdJUa.jpg'],0,0,0,['#ثاخت'],[],https://twitter.com/abandidgah/status/998438314582597632,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9943086504936218
7,7,7,7,7,7,7,999196193186983936,999196193186983936,1527061911000,2018-05-23,12:21:51,430,986116312920453120,abandidgah,دیدگاه آبان,,"*بازگشایی نماد*
بورس
#خشرق
بدون محدوديت نوسان قيمت
#ثاخت #شسپا
با محدوديت نوسان قيمت
#بورس",[],[],[],0,0,0,"['#خشرق', '#ثاخت', '#شسپا', '#بورس']",[],https://twitter.com/abandidgah/status/999196193186983936,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9834059476852416
8,8,8,8,8,8,8,1000665220975505408,1000665220975505408,1527412154000,2018-05-27,13:39:14,430,986116312920453120,abandidgah,دیدگاه آبان,,"#ثاخت
بررسی #اطلاعیه
*بين المللي توسعه ساختمان*      
افشای اطلاعات بااهمیت - (اتمام تعهدات قبلي - گروه ب) منتهی به سال مالی ۱۳۹۷/۰۶/۳۱
#بورس pic.twitter.com/UKwVTnEErN",[],[],['https://pbs.twimg.com/media/DeMTp5CUQAUHsKJ.jpg'],0,0,0,"['#ثاخت', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1000665220975505408,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9959471821784972
9,9,9,9,9,9,9,1002785564838379520,1002785564838379520,1527917684000,2018-06-02,10:04:44,430,986116312920453120,abandidgah,دیدگاه آبان,,"بیشترین حجم معاملات 
#وبصادر 83.9 میلیون سهم
#فولاد 20.8 میلیون سهم
#ذوب 18 میلیون سهم
#ثاخت 9.2 میلیون سهم
#ثمسکن 7 میلیون سهم
#بورس",[],[],[],0,0,0,"['#وبصادر', '#فولاد', '#ذوب', '#ثاخت', '#ثمسکن', '#بورس']",[],https://twitter.com/abandidgah/status/1002785564838379520,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.4963366091251373
