,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693383959812665344,693383959812665344,1454150593000,2016-01-30,14:13:13,430,2463165061,bourseiness,بورسینس,,انجام معامله بلوکی در سه نماد بانکی #وبصادر، #وتجارت و #وبملت: بورسینس دات‌کام: معاملات…  http://goo.gl/fb/OEVVuX ,[],['http://goo.gl/fb/OEVVuX'],[],0,0,0,"['#وبصادر', '#وتجارت', '#وبملت']",[],https://twitter.com/bourseiness/status/693383959812665344,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9247938394546508
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,704182349156782080,704182349156782080,1456725129000,2016-02-29,09:22:09,430,2463165061,bourseiness,بورسینس,,#وتجارت #گروه بانک ➖➖➖➖➖➖➖➖➖➖➖ نمودار هفتگی لگاریتمی  http://goo.gl/fb/nQzPlq  #اقتصاد,[],['http://goo.gl/fb/nQzPlq'],[],0,0,0,"['#وتجارت', '#گروه', '#اقتصاد']",[],https://twitter.com/bourseiness/status/704182349156782080,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.8758295774459839
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,706717094084083712,706717094084083712,1457329460000,2016-03-07,09:14:20,430,2463165061,bourseiness,بورسینس,,💠 #وتجارت 94 12 17 پایان پولبک و اصلاح و در ادامه حرکت یه…  http://goo.gl/fb/muocZC  #اقتصاد,[],['http://goo.gl/fb/muocZC'],[],0,0,0,"['#وتجارت', '#اقتصاد']",[],https://twitter.com/bourseiness/status/706717094084083712,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.9896384477615356
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,713985322061684737,713985322061684737,1459062340000,2016-03-27,11:35:40,430,2463165061,bourseiness,بورسینس,,نمادهای #وساپا #خودرو #خساپا #وبصادر #فولاد #وبملت #وتجارت بیشترین حجم معامله را تا…  http://goo.gl/fb/ap4603  #اقتصاد,[],['http://goo.gl/fb/ap4603'],[],0,0,0,"['#وساپا', '#خودرو', '#خساپا', '#وبصادر', '#فولاد', '#وبملت', '#وتجارت', '#اقتصاد']",[],https://twitter.com/bourseiness/status/713985322061684737,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.5364779233932495
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,714343713737150464,714343713737150464,1459147787000,2016-03-28,11:19:47,430,2463165061,bourseiness,بورسینس,,تا این لحظه نمادهای #وساپا #خساپا #وبصادر #وبملت #وتجارت #وپترو #خپارس #خودرو…  http://goo.gl/fb/9Npyxw  #اقتصاد,[],['http://goo.gl/fb/9Npyxw'],[],0,0,0,"['#وساپا', '#خساپا', '#وبصادر', '#وبملت', '#وتجارت', '#وپترو', '#خپارس', '#خودرو', '#اقتصاد']",[],https://twitter.com/bourseiness/status/714343713737150464,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.8244085311889648
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,719427920612233216,719427920612233216,1460359957000,2016-04-11,12:02:37,430,2463165061,bourseiness,بورسینس,,#وتجارت بلوک در محدوده 4 مثبت  http://goo.gl/fb/ORn2GL  #اقتصاد,[],['http://goo.gl/fb/ORn2GL'],[],0,0,0,"['#وتجارت', '#اقتصاد']",[],https://twitter.com/bourseiness/status/719427920612233216,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.80141282081604
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,720120147369947136,720120147369947136,1460524996000,2016-04-13,09:53:16,430,2463165061,bourseiness,بورسینس,,نمادهای #وبصادر #حکمت #دی #خاهن #شپنا #پترول #وتجارت در پائین ترین قیمت یک ماهه…  http://goo.gl/fb/AhjEbF  #اقتصاد,[],['http://goo.gl/fb/AhjEbF'],[],0,0,0,"['#وبصادر', '#حکمت', '#دی', '#خاهن', '#شپنا', '#پترول', '#وتجارت', '#اقتصاد']",[],https://twitter.com/bourseiness/status/720120147369947136,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.8621830940246582
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,721205522041552897,721205522041552897,1460783770000,2016-04-16,09:46:10,430,2463165061,bourseiness,بورسینس,,نمادهای #وبصادر #وتجارت #پترول #دی #حکمت #تکمبا #وملت در پایین ترین قیمت ماهانه خود…  http://goo.gl/fb/nuuCgo  #اقتصاد,[],['http://goo.gl/fb/nuuCgo'],[],0,0,0,"['#وبصادر', '#وتجارت', '#پترول', '#دی', '#حکمت', '#تکمبا', '#وملت', '#اقتصاد']",[],https://twitter.com/bourseiness/status/721205522041552897,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.4985531866550446
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,724114283735465984,724114283735465984,1461477273000,2016-04-24,10:24:33,430,2463165061,bourseiness,بورسینس,,#وتجارت شرکت بانک تجارت اولین پیش بینی درآمد هر سهم سال مالی منتهی…  http://goo.gl/fb/nN8VbU  #اقتصاد,[],['http://goo.gl/fb/nN8VbU'],[],0,0,0,"['#وتجارت', '#اقتصاد']",[],https://twitter.com/bourseiness/status/724114283735465984,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.4165734350681305
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,724484813072289792,724484813072289792,1461565614000,2016-04-25,10:56:54,430,2463165061,bourseiness,بورسینس,,رنج در #وتجارت افزایش تقاضا در #گروهـبانک  http://goo.gl/fb/5DxUpl  #اقتصاد,[],['http://goo.gl/fb/5DxUpl'],[],0,0,0,"['#وتجارت', '#گروهـبانک', '#اقتصاد']",[],https://twitter.com/bourseiness/status/724484813072289792,False,,0,,,,,,,"[{'user_id': '2463165061', 'username': 'bourseiness'}]",,,,,0.785409688949585
