,Date,Trend
0,2015-08-09,1
1,2015-08-16,0
2,2015-08-23,1
3,2015-08-30,1
4,2015-09-06,2
5,2015-09-13,2
6,2015-09-20,1
7,2015-09-27,1
8,2015-10-04,0
9,2015-10-11,2
10,2015-10-18,0
11,2015-10-25,0
12,2015-11-01,2
13,2015-11-08,2
14,2015-11-15,3
15,2015-11-22,1
16,2015-11-29,2
17,2015-12-06,1
18,2015-12-13,2
19,2015-12-20,2
20,2015-12-27,1
21,2016-01-03,1
22,2016-01-10,1
23,2016-01-17,0
24,2016-01-24,1
25,2016-01-31,1
26,2016-02-07,2
27,2016-02-14,1
28,2016-02-21,1
29,2016-02-28,1
30,2016-03-06,2
31,2016-03-13,1
32,2016-03-20,3
33,2016-03-27,0
34,2016-04-03,1
35,2016-04-10,1
36,2016-04-17,1
37,2016-04-24,2
38,2016-05-01,2
39,2016-05-08,1
40,2016-05-15,0
41,2016-05-22,1
42,2016-05-29,1
43,2016-06-05,1
44,2016-06-12,1
45,2016-06-19,1
46,2016-06-26,2
47,2016-07-03,1
48,2016-07-10,1
49,2016-07-17,0
50,2016-07-24,1
51,2016-07-31,4
52,2016-08-07,3
53,2016-08-14,1
54,2016-08-21,2
55,2016-08-28,1
56,2016-09-04,1
57,2016-09-11,3
58,2016-09-18,0
59,2016-09-25,1
60,2016-10-02,1
61,2016-10-09,1
62,2016-10-16,1
63,2016-10-23,2
64,2016-10-30,0
65,2016-11-06,2
66,2016-11-13,2
67,2016-11-20,2
68,2016-11-27,2
69,2016-12-04,0
70,2016-12-11,2
71,2016-12-18,2
72,2016-12-25,1
73,2017-01-01,1
74,2017-01-08,1
75,2017-01-15,2
76,2017-01-22,1
77,2017-01-29,2
78,2017-02-05,2
79,2017-02-12,1
80,2017-02-19,3
81,2017-02-26,1
82,2017-03-05,1
83,2017-03-12,2
84,2017-03-19,2
85,2017-03-26,1
86,2017-04-02,2
87,2017-04-09,2
88,2017-04-16,1
89,2017-04-23,2
90,2017-04-30,2
91,2017-05-07,2
92,2017-05-14,2
93,2017-05-21,2
94,2017-05-28,4
95,2017-06-04,1
96,2017-06-11,1
97,2017-06-18,3
98,2017-06-25,2
99,2017-07-02,2
100,2017-07-09,1
101,2017-07-16,2
102,2017-07-23,1
103,2017-07-30,3
104,2017-08-06,1
105,2017-08-13,1
106,2017-08-20,1
107,2017-08-27,0
108,2017-09-03,2
109,2017-09-10,1
110,2017-09-17,2
111,2017-09-24,2
112,2017-10-01,2
113,2017-10-08,2
114,2017-10-15,2
115,2017-10-22,2
116,2017-10-29,2
117,2017-11-05,2
118,2017-11-12,1
119,2017-11-19,1
120,2017-11-26,2
121,2017-12-03,4
122,2017-12-10,2
123,2017-12-17,2
124,2017-12-24,1
125,2017-12-31,1
126,2018-01-07,1
127,2018-01-14,2
128,2018-01-21,1
129,2018-01-28,1
130,2018-02-04,2
131,2018-02-11,2
132,2018-02-18,2
133,2018-02-25,2
134,2018-03-04,1
135,2018-03-11,2
136,2018-03-18,1
137,2018-03-25,1
138,2018-04-01,1
139,2018-04-08,4
140,2018-04-15,2
141,2018-04-22,2
142,2018-04-29,2
143,2018-05-06,3
144,2018-05-13,13
145,2018-05-20,2
146,2018-05-27,3
147,2018-06-03,2
148,2018-06-10,2
149,2018-06-17,2
150,2018-06-24,3
151,2018-07-01,2
152,2018-07-08,1
153,2018-07-15,2
154,2018-07-22,3
155,2018-07-29,2
156,2018-08-05,1
157,2018-08-12,2
158,2018-08-19,1
159,2018-08-26,2
160,2018-09-02,1
161,2018-09-09,3
162,2018-09-16,1
163,2018-09-23,2
164,2018-09-30,2
165,2018-10-07,1
166,2018-10-14,1
167,2018-10-21,1
168,2018-10-28,5
169,2018-11-04,1
170,2018-11-11,3
171,2018-11-18,2
172,2018-11-25,2
173,2018-12-02,1
174,2018-12-09,1
175,2018-12-16,2
176,2018-12-23,2
177,2018-12-30,3
178,2019-01-06,2
179,2019-01-13,2
180,2019-01-20,3
181,2019-01-27,2
182,2019-02-03,2
183,2019-02-10,3
184,2019-02-17,1
185,2019-02-24,1
186,2019-03-03,2
187,2019-03-10,3
188,2019-03-17,3
189,2019-03-24,2
190,2019-03-31,3
191,2019-04-07,2
192,2019-04-14,2
193,2019-04-21,2
194,2019-04-28,2
195,2019-05-05,3
196,2019-05-12,1
197,2019-05-19,3
198,2019-05-26,4
199,2019-06-02,3
200,2019-06-09,1
201,2019-06-16,2
202,2019-06-23,2
203,2019-06-30,3
204,2019-07-07,1
205,2019-07-14,1
206,2019-07-21,4
207,2019-07-28,2
208,2019-08-04,6
209,2019-08-11,2
210,2019-08-18,3
211,2019-08-25,3
212,2019-09-01,3
213,2019-09-08,4
214,2019-09-15,4
215,2019-09-22,4
216,2019-09-29,4
217,2019-10-06,3
218,2019-10-13,6
219,2019-10-20,10
220,2019-10-27,9
221,2019-11-03,9
222,2019-11-10,13
223,2019-11-17,3
224,2019-11-24,9
225,2019-12-01,24
226,2019-12-08,14
227,2019-12-15,8
228,2019-12-22,9
229,2019-12-29,17
230,2020-01-05,9
231,2020-01-12,8
232,2020-01-19,10
233,2020-01-26,9
234,2020-02-02,8
235,2020-02-09,7
236,2020-02-16,8
237,2020-02-23,7
238,2020-03-01,7
239,2020-03-08,14
240,2020-03-15,17
241,2020-03-22,12
242,2020-03-29,10
243,2020-04-05,10
244,2020-04-12,12
245,2020-04-19,10
246,2020-04-26,7
247,2020-05-03,10
248,2020-05-10,12
249,2020-05-17,12
250,2020-05-24,17
251,2020-05-31,9
252,2020-06-07,16
253,2020-06-14,15
254,2020-06-21,17
255,2020-06-28,21
256,2020-07-05,26
257,2020-07-12,30
258,2020-07-19,63
259,2020-07-26,59
260,2020-08-02,100
