,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990616880485470208,990616880485470208,1525016443000,2018-04-29,20:10:43,430,986116312920453120,abandidgah,دیدگاه آبان,,"#دانا
اطلاعیه عرضه 13/13 درصدی از سهام شرکت بیمه دانا به صورت عمده ( مدیریتی غیر کنترلی)
#بورس  pic.twitter.com/H4jIKeI5hx",[],[],['https://pbs.twimg.com/media/Db9gurAWAAAGyxG.jpg'],0,0,0,"['#دانا', '#بورس']",[],https://twitter.com/abandidgah/status/990616880485470208,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,997746289390465024,997746289390465024,1526716227000,2018-05-19,12:20:27,430,986116312920453120,abandidgah,دیدگاه آبان,,"با صف خرید نمادهای #میهن، #دانا، #ودی و البرز در گروه بیمه ای مواجه می باشیم.
#بورس",[],[],[],0,0,0,"['#میهن', '#دانا', '#ودی', '#بورس']",[],https://twitter.com/abandidgah/status/997746289390465024,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,998078364723236866,998078364723236866,1526795400000,2018-05-20,10:20:00,430,986116312920453120,abandidgah,دیدگاه آبان,,"به جز نماد #آسیا که کم حجم و متعادل دنبال می شود، سایر نمادهای گروه بیمه ای با افزایش تقاضا و معاملاتی مثبت مواجه می باشند تا جایی که نمادهای #البرز، #دانا، #میهن و ما با صف خرید همراه می باشند.
#بورس",[],[],[],0,0,0,"['#آسیا', '#البرز', '#دانا', '#میهن', '#بورس']",[],https://twitter.com/abandidgah/status/998078364723236866,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,998471589497733121,998471589497733121,1526889152000,2018-05-21,12:22:32,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف خرید نمادهای #ما و #میهن، معاملات مثبت نمادهای #البرز و #دانا و فشار فروش و معاملات منفی نماد #ودی در گروه بیمه ای نمایان تر از دادوستدهای سایر هم گروهی ها می باشد.
#بورس",[],[],[],0,0,0,"['#ما', '#میهن', '#البرز', '#دانا', '#ودی', '#بورس']",[],https://twitter.com/abandidgah/status/998471589497733121,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1006825948279386112,1006825948279386112,1528880986000,2018-06-13,13:39:46,430,986116312920453120,abandidgah,دیدگاه آبان,,"در پایان معاملات #شاخص کل در بازاری سراسر مثبت اما متاثر تر از معاملات مثبت نمادهای #فولاد، #فارس، #فملی، #کگل، #فخوز، #جم، #تاپیکو، #شبندر، #ومعادن و #وغدیر با رشد چشمگیر حدود 2750 واحدی در قلع 99128 واحدی رسید . نمادهای #رانفور و #دانا بیشترین تاثیر منفی را ایجاد کردند.
#بورس",[],[],[],0,0,0,"['#شاخص', '#فولاد', '#فارس', '#فملی', '#کگل', '#فخوز', '#جم', '#تاپیکو', '#شبندر', '#ومعادن', '#وغدیر', '#رانفور', '#دانا', '#بورس']",[],https://twitter.com/abandidgah/status/1006825948279386112,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1008228185127809025,1008228185127809025,1529215305000,2018-06-17,10:31:45,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه های مهجور بانکی و بیمه ای که همسو با جو هیجانی و مثبت بازار، اکثرا معاملاتی متعادل و مثبت را تجربه می کنند، ادامه صف فروش نماد #وکار و قرمز پوشی، معاملات منفی اما کم حجم نمادهای #آسیا، #وسینا، #وخاور، #دانا، #ورازی و #اتکای، جلب توجه می نمایند،
#بورس
3",[],[],[],0,0,0,"['#وکار', '#آسیا', '#وسینا', '#وخاور', '#دانا', '#ورازی', '#اتکای', '#بورس']",[],https://twitter.com/abandidgah/status/1008228185127809025,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1016573883552395264,1016573883552395264,1531205075000,2018-07-10,11:14:35,430,986116312920453120,abandidgah,دیدگاه آبان,,"#دانا
بررسی #اطلاعیه 97/04/19   
*بیمه دانا*
لغو آگهی دعوت به مجمع عمومی عادی سالیانه مورخ 97/04/27 
تصمیم گیری در خصوص دستور جلسه به مجامع بعدی که تاریخ آن متعاقباً اعلام میگردد موکول گردید
#بورس",[],[],[],0,0,0,"['#دانا', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1016573883552395264,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1016905530659368961,1016905530659368961,1531284146000,2018-07-11,09:12:26,430,986116312920453120,abandidgah,دیدگاه آبان,,"#دانا
بررسی #اطلاعیه 97/04/20
*بیمه دانا*
آگهی دعوت به مجمع عمومی عادی سالیانه       
در ساعت 15:00 روز شنبه مورخ 1397/04/30 
درمحل تهران - خيابان وليعصر - پائين تر از پارک ساعي - نبش کوچه دلبسته - پلاک 2141 هتل سيمرغ  
#بورس",[],[],[],0,0,0,"['#دانا', '#اطلاعیه', '#بورس']",[],https://twitter.com/abandidgah/status/1016905530659368961,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1028148927474745346,1028148927474745346,1533964781000,2018-08-11,09:49:41,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه بیمه نیز امروز شاهد رشد تقاضا در نمادهای #البرز، #آسیا، #ما و #دانا هستیم. وضعیت مناسب نموداری درکنار احتمال شناسایی سود ناشی از تسعیر ارز از دلایل اقبال به این گروه می باشد.
#بورس",[],[],[],0,0,0,"['#البرز', '#آسیا', '#ما', '#دانا', '#بورس']",[],https://twitter.com/abandidgah/status/1028148927474745346,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1028515178621456384,1028515178621456384,1534052102000,2018-08-12,10:05:02,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه بیمه نیز امروز شاهد ادامه تقاضا در نمادهای #البرز، #آسیا، و #دانا هستیم. نماد #آسیا با صف خرید روبروست و حجم عرضه در این نماد پایین است.
#بورس",[],[],[],0,0,0,"['#البرز', '#آسیا', '#دانا', '#آسیا', '#بورس']",[],https://twitter.com/abandidgah/status/1028515178621456384,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1029268257327308802,1029268257327308802,1534231650000,2018-08-14,11:57:30,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه بیمه نیز امروز شاهد ادامه تقاضا در نمادهای #دانا و #آسیا هستیم. نماد #آسیا در سقف قیمتی داد و ستد می شود و در دیگر نمادها نیز شاهد معاملاتی متعادل هستیم.
#بورس",[],[],[],0,0,0,"['#دانا', '#آسیا', '#آسیا', '#بورس']",[],https://twitter.com/abandidgah/status/1029268257327308802,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1070187514114129920,1070187514114129920,1543987561000,2018-12-05,08:56:01,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های خرید
#مادیرا 64.2 میلیون سهم
#دامین 17.2 میلیون سهم
#پخش 14.8 میلیون سهم
#دانا 6.6 میلیون  سهم
#خاهن 3.2 میلیون سهم
#بورس",[],[],[],0,0,0,"['#مادیرا', '#دامین', '#پخش', '#دانا', '#خاهن', '#بورس']",[],https://twitter.com/abandidgah/status/1070187514114129920,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1070207847986675712,1070207847986675712,1543992409000,2018-12-05,10:16:49,430,986116312920453120,abandidgah,دیدگاه آبان,,"در بیمه ای ها برخلاف روز گذشته معاملات مثبتی در جریان است. #دانا، #آسیا و #کوثر مورد توجهند و عمده نمادها معاملاتی مثبت را تجربه می نماند. 
#بورس",[],[],[],0,0,0,"['#دانا', '#آسیا', '#کوثر', '#بورس']",[],https://twitter.com/abandidgah/status/1070207847986675712,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1107182638521966592,1107182638521966592,1552807886000,2019-03-17,11:01:26,430,986116312920453120,abandidgah,دیدگاه آبان,,"نمادهای #سشمال، #وغدیر، #دانا و #وبیمه بازگشایی می شوند.  
#بورس",[],[],[],0,0,0,"['#سشمال', '#وغدیر', '#دانا', '#وبیمه', '#بورس']",[],https://twitter.com/abandidgah/status/1107182638521966592,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1128162882405855234,1128162882405855234,1557809966000,2019-05-14,09:29:26,430,986116312920453120,abandidgah,دیدگاه آبان,,"صف های خرید
#خزامیا 66.1 میلیون سهم
#چدن 27.2  میلیون سهم
#کساپا 23.6 میلیون سهم
#دانا 20.4 میلیون سهم
#ونفت 16.9 میلیون سهم
#بورس",[],[],[],0,0,0,"['#خزامیا', '#چدن', '#کساپا', '#دانا', '#ونفت', '#بورس']",[],https://twitter.com/abandidgah/status/1128162882405855234,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9912850856781006
