,Date,Trend
0,2015-08-09,0
1,2015-08-16,0
2,2015-08-23,0
3,2015-08-30,2
4,2015-09-06,0
5,2015-09-13,0
6,2015-09-20,2
7,2015-09-27,0
8,2015-10-04,0
9,2015-10-11,0
10,2015-10-18,0
11,2015-10-25,0
12,2015-11-01,2
13,2015-11-08,0
14,2015-11-15,0
15,2015-11-22,0
16,2015-11-29,0
17,2015-12-06,2
18,2015-12-13,0
19,2015-12-20,2
20,2015-12-27,2
21,2016-01-03,2
22,2016-01-10,2
23,2016-01-17,2
24,2016-01-24,0
25,2016-01-31,2
26,2016-02-07,0
27,2016-02-14,2
28,2016-02-21,0
29,2016-02-28,2
30,2016-03-06,0
31,2016-03-13,0
32,2016-03-20,0
33,2016-03-27,2
34,2016-04-03,0
35,2016-04-10,0
36,2016-04-17,2
37,2016-04-24,2
38,2016-05-01,2
39,2016-05-08,0
40,2016-05-15,0
41,2016-05-22,2
42,2016-05-29,0
43,2016-06-05,0
44,2016-06-12,0
45,2016-06-19,0
46,2016-06-26,0
47,2016-07-03,0
48,2016-07-10,0
49,2016-07-17,0
50,2016-07-24,0
51,2016-07-31,0
52,2016-08-07,0
53,2016-08-14,0
54,2016-08-21,0
55,2016-08-28,2
56,2016-09-04,0
57,2016-09-11,0
58,2016-09-18,0
59,2016-09-25,2
60,2016-10-02,3
61,2016-10-09,0
62,2016-10-16,0
63,2016-10-23,0
64,2016-10-30,0
65,2016-11-06,0
66,2016-11-13,2
67,2016-11-20,2
68,2016-11-27,0
69,2016-12-04,0
70,2016-12-11,2
71,2016-12-18,0
72,2016-12-25,2
73,2017-01-01,2
74,2017-01-08,0
75,2017-01-15,0
76,2017-01-22,0
77,2017-01-29,2
78,2017-02-05,0
79,2017-02-12,0
80,2017-02-19,2
81,2017-02-26,0
82,2017-03-05,0
83,2017-03-12,1
84,2017-03-19,0
85,2017-03-26,2
86,2017-04-02,2
87,2017-04-09,0
88,2017-04-16,2
89,2017-04-23,3
90,2017-04-30,2
91,2017-05-07,3
92,2017-05-14,0
93,2017-05-21,2
94,2017-05-28,2
95,2017-06-04,0
96,2017-06-11,0
97,2017-06-18,0
98,2017-06-25,2
99,2017-07-02,0
100,2017-07-09,0
101,2017-07-16,0
102,2017-07-23,2
103,2017-07-30,2
104,2017-08-06,0
105,2017-08-13,0
106,2017-08-20,2
107,2017-08-27,0
108,2017-09-03,0
109,2017-09-10,0
110,2017-09-17,0
111,2017-09-24,2
112,2017-10-01,0
113,2017-10-08,0
114,2017-10-15,0
115,2017-10-22,2
116,2017-10-29,0
117,2017-11-05,1
118,2017-11-12,1
119,2017-11-19,0
120,2017-11-26,1
121,2017-12-03,1
122,2017-12-10,0
123,2017-12-17,2
124,2017-12-24,0
125,2017-12-31,0
126,2018-01-07,0
127,2018-01-14,1
128,2018-01-21,1
129,2018-01-28,1
130,2018-02-04,1
131,2018-02-11,0
132,2018-02-18,0
133,2018-02-25,0
134,2018-03-04,0
135,2018-03-11,0
136,2018-03-18,0
137,2018-03-25,1
138,2018-04-01,0
139,2018-04-08,0
140,2018-04-15,0
141,2018-04-22,0
142,2018-04-29,1
143,2018-05-06,0
144,2018-05-13,0
145,2018-05-20,1
146,2018-05-27,0
147,2018-06-03,1
148,2018-06-10,0
149,2018-06-17,3
150,2018-06-24,1
151,2018-07-01,0
152,2018-07-08,1
153,2018-07-15,0
154,2018-07-22,0
155,2018-07-29,0
156,2018-08-05,0
157,2018-08-12,0
158,2018-08-19,1
159,2018-08-26,1
160,2018-09-02,3
161,2018-09-09,1
162,2018-09-16,1
163,2018-09-23,0
164,2018-09-30,1
165,2018-10-07,1
166,2018-10-14,0
167,2018-10-21,1
168,2018-10-28,1
169,2018-11-04,1
170,2018-11-11,0
171,2018-11-18,0
172,2018-11-25,0
173,2018-12-02,1
174,2018-12-09,0
175,2018-12-16,1
176,2018-12-23,2
177,2018-12-30,2
178,2019-01-06,1
179,2019-01-13,0
180,2019-01-20,1
181,2019-01-27,1
182,2019-02-03,1
183,2019-02-10,1
184,2019-02-17,1
185,2019-02-24,0
186,2019-03-03,0
187,2019-03-10,1
188,2019-03-17,1
189,2019-03-24,1
190,2019-03-31,1
191,2019-04-07,1
192,2019-04-14,1
193,2019-04-21,1
194,2019-04-28,1
195,2019-05-05,1
196,2019-05-12,1
197,2019-05-19,1
198,2019-05-26,1
199,2019-06-02,3
200,2019-06-09,2
201,2019-06-16,0
202,2019-06-23,1
203,2019-06-30,1
204,2019-07-07,0
205,2019-07-14,2
206,2019-07-21,3
207,2019-07-28,4
208,2019-08-04,4
209,2019-08-11,2
210,2019-08-18,1
211,2019-08-25,3
212,2019-09-01,3
213,2019-09-08,2
214,2019-09-15,4
215,2019-09-22,6
216,2019-09-29,9
217,2019-10-06,9
218,2019-10-13,8
219,2019-10-20,8
220,2019-10-27,6
221,2019-11-03,6
222,2019-11-10,7
223,2019-11-17,0
224,2019-11-24,7
225,2019-12-01,7
226,2019-12-08,12
227,2019-12-15,8
228,2019-12-22,16
229,2019-12-29,11
