,Date,Trend
0,2015-08-09,3
1,2015-08-16,2
2,2015-08-23,2
3,2015-08-30,2
4,2015-09-06,2
5,2015-09-13,1
6,2015-09-20,1
7,2015-09-27,1
8,2015-10-04,1
9,2015-10-11,0
10,2015-10-18,1
11,2015-10-25,1
12,2015-11-01,2
13,2015-11-08,1
14,2015-11-15,1
15,2015-11-22,1
16,2015-11-29,1
17,2015-12-06,1
18,2015-12-13,1
19,2015-12-20,2
20,2015-12-27,1
21,2016-01-03,1
22,2016-01-10,2
23,2016-01-17,2
24,2016-01-24,2
25,2016-01-31,4
26,2016-02-07,2
27,2016-02-14,3
28,2016-02-21,2
29,2016-02-28,2
30,2016-03-06,3
31,2016-03-13,3
32,2016-03-20,1
33,2016-03-27,1
34,2016-04-03,1
35,2016-04-10,1
36,2016-04-17,2
37,2016-04-24,1
38,2016-05-01,1
39,2016-05-08,2
40,2016-05-15,2
41,2016-05-22,1
42,2016-05-29,1
43,2016-06-05,2
44,2016-06-12,2
45,2016-06-19,1
46,2016-06-26,1
47,2016-07-03,1
48,2016-07-10,1
49,2016-07-17,2
50,2016-07-24,0
51,2016-07-31,2
52,2016-08-07,1
53,2016-08-14,1
54,2016-08-21,1
55,2016-08-28,2
56,2016-09-04,1
57,2016-09-11,1
58,2016-09-18,1
59,2016-09-25,1
60,2016-10-02,1
61,2016-10-09,1
62,2016-10-16,1
63,2016-10-23,3
64,2016-10-30,2
65,2016-11-06,2
66,2016-11-13,1
67,2016-11-20,2
68,2016-11-27,1
69,2016-12-04,3
70,2016-12-11,2
71,2016-12-18,2
72,2016-12-25,2
73,2017-01-01,2
74,2017-01-08,2
75,2017-01-15,2
76,2017-01-22,2
77,2017-01-29,1
78,2017-02-05,1
79,2017-02-12,1
80,2017-02-19,2
81,2017-02-26,1
82,2017-03-05,1
83,2017-03-12,1
84,2017-03-19,0
85,2017-03-26,1
86,2017-04-02,1
87,2017-04-09,0
88,2017-04-16,1
89,2017-04-23,1
90,2017-04-30,2
91,2017-05-07,1
92,2017-05-14,1
93,2017-05-21,1
94,2017-05-28,1
95,2017-06-04,1
96,2017-06-11,1
97,2017-06-18,1
98,2017-06-25,1
99,2017-07-02,1
100,2017-07-09,1
101,2017-07-16,1
102,2017-07-23,2
103,2017-07-30,1
104,2017-08-06,1
105,2017-08-13,1
106,2017-08-20,1
107,2017-08-27,1
108,2017-09-03,1
109,2017-09-10,1
110,2017-09-17,2
111,2017-09-24,1
112,2017-10-01,1
113,2017-10-08,2
114,2017-10-15,1
115,2017-10-22,2
116,2017-10-29,2
117,2017-11-05,2
118,2017-11-12,2
119,2017-11-19,3
120,2017-11-26,2
121,2017-12-03,1
122,2017-12-10,2
123,2017-12-17,4
124,2017-12-24,2
125,2017-12-31,3
126,2018-01-07,1
127,2018-01-14,3
128,2018-01-21,2
129,2018-01-28,2
130,2018-02-04,2
131,2018-02-11,1
132,2018-02-18,1
133,2018-02-25,1
134,2018-03-04,1
135,2018-03-11,1
136,2018-03-18,0
137,2018-03-25,1
138,2018-04-01,1
139,2018-04-08,1
140,2018-04-15,1
141,2018-04-22,1
142,2018-04-29,1
143,2018-05-06,1
144,2018-05-13,1
145,2018-05-20,1
146,2018-05-27,1
147,2018-06-03,0
148,2018-06-10,1
149,2018-06-17,2
150,2018-06-24,2
151,2018-07-01,2
152,2018-07-08,1
153,2018-07-15,2
154,2018-07-22,2
155,2018-07-29,3
156,2018-08-05,4
157,2018-08-12,3
158,2018-08-19,1
159,2018-08-26,4
160,2018-09-02,4
161,2018-09-09,4
162,2018-09-16,2
163,2018-09-23,5
164,2018-09-30,6
165,2018-10-07,8
166,2018-10-14,7
167,2018-10-21,8
168,2018-10-28,7
169,2018-11-04,5
170,2018-11-11,4
171,2018-11-18,4
172,2018-11-25,5
173,2018-12-02,5
174,2018-12-09,5
175,2018-12-16,4
176,2018-12-23,3
177,2018-12-30,4
178,2019-01-06,4
179,2019-01-13,3
180,2019-01-20,4
181,2019-01-27,3
182,2019-02-03,2
183,2019-02-10,2
184,2019-02-17,2
185,2019-02-24,3
186,2019-03-03,2
187,2019-03-10,2
188,2019-03-17,2
189,2019-03-24,3
190,2019-03-31,2
191,2019-04-07,2
192,2019-04-14,3
193,2019-04-21,2
194,2019-04-28,3
195,2019-05-05,4
196,2019-05-12,2
197,2019-05-19,2
198,2019-05-26,2
199,2019-06-02,2
200,2019-06-09,1
201,2019-06-16,2
202,2019-06-23,2
203,2019-06-30,2
204,2019-07-07,2
205,2019-07-14,2
206,2019-07-21,2
207,2019-07-28,1
208,2019-08-04,3
209,2019-08-11,2
210,2019-08-18,5
211,2019-08-25,3
212,2019-09-01,3
213,2019-09-08,2
214,2019-09-15,3
215,2019-09-22,4
216,2019-09-29,5
217,2019-10-06,5
218,2019-10-13,6
219,2019-10-20,4
220,2019-10-27,2
221,2019-11-03,3
222,2019-11-10,2
223,2019-11-17,0
224,2019-11-24,2
225,2019-12-01,4
226,2019-12-08,4
227,2019-12-15,5
228,2019-12-22,4
229,2019-12-29,6
230,2020-01-05,4
231,2020-01-12,5
232,2020-01-19,5
233,2020-01-26,5
234,2020-02-02,6
235,2020-02-09,6
236,2020-02-16,7
237,2020-02-23,8
238,2020-03-01,6
239,2020-03-08,7
240,2020-03-15,6
241,2020-03-22,5
242,2020-03-29,8
243,2020-04-05,13
244,2020-04-12,14
245,2020-04-19,16
246,2020-04-26,16
247,2020-05-03,17
248,2020-05-10,22
249,2020-05-17,23
250,2020-05-24,14
251,2020-05-31,20
252,2020-06-07,21
253,2020-06-14,25
254,2020-06-21,28
255,2020-06-28,28
256,2020-07-05,42
257,2020-07-12,54
258,2020-07-19,85
259,2020-07-26,97
260,2020-08-02,100
